activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
933461,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL56904,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,IC50,100.0,nM,=
933469,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL418270,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1,IC50,150.0,nM,=
933477,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL293991,NCCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21,IC50,350.0,nM,=
933484,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL418010,COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,IC50,800.0,nM,=
936345,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL56359,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1,IC50,300.0,nM,=
937849,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL20926,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,400.0,nM,=
939135,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL278103,Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,IC50,1500.0,nM,=
939142,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL57690,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,IC50,1800.0,nM,=
940388,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL55662,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3ccncc3)n2)c1,IC50,100000.0,nM,>
941708,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL55592,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1,IC50,500.0,nM,=
941715,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL57553,Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,700.0,nM,=
942926,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL56081,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,34000.0,nM,=
944414,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL58142,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,IC50,450.0,nM,=
