molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL1170749,OCc1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,ZGXOIUFSZFXEMV,1,-1,-1,c1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,train
CHEMBL1171043,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C(C)C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,UVJWKUDYNQQVDM,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171044,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,XCUBPDUKAWXPCB,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171045,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCF)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,CSMOSYIFOGJHKG,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171085,Cc1ccc(C(=O)Nc2cc(-n3ccnc3CN(C)C)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,QZYXEXGJVTZDIZ,1,-1,-1,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171086,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,ZRIKPFNXTUUJLL,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171281,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,MCFGKFVUYVDWJD,1,-1,-1,O=C(Nc1cccc(C#Cc2cnc3ccccn23)c1)c1ccc(CN2CCNCC2)cc1,train
CHEMBL1171282,Cc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,APNDYFIEHLWGLX,1,-1,-1,O=C(Nc1cccc(CN2CCNCC2)c1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171283,Cc1ccc(C(=O)Nc2ccc(CN3CCOCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,OHZCHMRAANNRTL,1,-1,-1,O=C(Nc1ccc(CN2CCOCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171432,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,ZSRMOINLZARXLA,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3cccnn23)c1,train
CHEMBL1171657,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]cnc2c1,XGDBPKHGUYPWPJ,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3[nH]cnc3c2)c1,train
CHEMBL1171679,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/n4cnc5c(N)ncnc54)c3)cc(C(F)(F)F)c2)cn1,FVVZGHAJQOKULY,1,-1,-1,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(C=Cn2cnc3cncnc32)c1,train
CHEMBL1171912,N#Cc1c(SCc2ccccc2)nc2c(c1-c1cccs1)CCCC2,CKRPTIHHOUSNTN,0,-1,-1,c1ccc(CSc2cc(-c3cccs3)c3c(n2)CCCC3)cc1,train
CHEMBL1171960,N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1,ARMHOYQEFMZUND,1,-1,-1,O=C(CSc1cc(-c2ccsc2)ccn1)c1ccccc1,train
CHEMBL1172004,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1,CPODEIRRQNWWDX,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3cccnn23)c1,train
