molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL3689611,Cc1ccc(C(=O)NC2(C)CCS(=O)(=O)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,OTMWFQLEMSULOM,1,-1,-1,O=C(NC1CCS(=O)(=O)C1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,test
CHEMBL3689612,Cc1ccc(C(=O)NC2CCCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,FAVNHLBBUNRLAL,1,-1,-1,O=C(NC1CCCC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689613,Cc1ccc(C(=O)NC2CCOC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,QGCZJCLYDBEEPE,1,-1,-1,O=C(NC1CCOC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,val
CHEMBL3689614,COCCNC(=O)c1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,XNIWSMFIBNKKLN,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689615,Cc1ccc(C(=O)NC(C)(C)CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,AEAKUTLWKRVNAP,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689616,Cc1ccc(C(=O)Nc2cnn(C)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,ADQSYGNVUQCCKO,1,-1,-1,O=C(Nc1cn[nH]c1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,val
CHEMBL3689617,Cc1ccc(C(=O)N2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,HJZAYVDPRUMWFB,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(C(=O)N4CCOCC4)c3)cc2cn1)C1CC1,test
CHEMBL3689618,Cc1cncc(C)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,MVASNTODXNQBAT,1,-1,-1,O=C(Nc1cc2ccc(-c3ccncc3)cc2cn1)C1CC1,train
CHEMBL3689619,Cc1ccncc1-c1ccc2c(C#N)c(N)ncc2c1,KQTWYAIVSGXGBQ,1,-1,-1,c1cncc(-c2ccc3ccncc3c2)c1,train
CHEMBL3689620,Cc1ccncc1-c1ccc2c(C#N)c(NC(=O)C3CC3)ncc2c1,XXZGCHXUIAKYFB,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
