rank,ad_rank,molecule_chembl_id,pref_name,smiles,PS,in_ad,max_train_sim,p_ABL1,p_c-KIT,p_PDGFRB
756,194.0,CHEMBL1889140,ROPIVACAINE HYDROCHLORIDE,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,0.1805,True,0.302,0.3336,0.1158,0.1522
757,,CHEMBL1201050,PEMIROLAST POTASSIUM,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12.[K+],0.1804,False,0.241,0.0833,0.2194,0.3211
758,,CHEMBL1200692,OLMESARTAN MEDOXOMIL,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.1799,False,0.23,0.1608,0.2085,0.1736
759,,CHEMBL1200418,DOBUTAMINE HYDROCHLORIDE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1.Cl,0.1795,False,0.294,0.0235,0.6953,0.3536
760,,CHEMBL1083659,SUVOREXANT,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,0.1781,False,0.257,0.0572,0.3058,0.3227
761,,CHEMBL1201774,SAPROPTERIN,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,0.1779,False,0.183,0.1106,0.0721,0.7055
762,,CHEMBL1908377,PYRVINIUM PAMOATE,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,0.1773,False,0.207,0.1266,0.315,0.1398
763,195.0,CHEMBL2105748,PRUCALOPRIDE SUCCINATE,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1.O=C(O)CCC(=O)O,0.1772,True,0.323,0.0576,0.0997,0.9697
764,,CHEMBL1200836,OXICONAZOLE NITRATE,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,0.1767,False,0.244,0.1751,0.67,0.047
765,,CHEMBL388590,BENZBROMARONE,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,0.1765,False,0.283,0.1993,0.0886,0.3112
766,,CHEMBL2106076,CEFPIROME SULFATE,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1.O=S(=O)(O)O,0.1764,False,0.171,0.0789,0.5071,0.1373
767,,CHEMBL428,TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,0.1764,False,0.261,0.1215,0.2845,0.1586
768,,CHEMBL643,PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.1763,False,0.208,0.0967,0.0587,0.9655
769,196.0,CHEMBL1200464,PROPARACAINE HYDROCHLORIDE,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl,0.1762,True,0.325,0.0085,0.7832,0.8206
770,197.0,CHEMBL1200586,PRILOCAINE HYDROCHLORIDE,CCCNC(C)C(=O)Nc1ccccc1C.Cl,0.176,True,0.317,0.0098,0.6788,0.8161
