rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB,max_train_sim,heavy_atoms,in_ad,ad_rank,ad_rank_pct
237,CHEMBL3545185,SELINEXOR,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,0.4643455647850677,0.62953913,0.43449387,0.36603072,189,740,1623,0.30769232,31,True,85,15.32
239,CHEMBL580,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0.4636278748159024,0.4069129,0.47652277,0.51395315,296,670,1373,0.3392857,21,True,86,15.5
245,CHEMBL429910,DAPAGLIFLOZIN,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,0.4566066684510148,0.40214866,0.24111181,0.98179686,301,1225,305,0.3068182,28,True,87,15.68
248,CHEMBL492,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.4551873239594218,0.83631325,0.21327268,0.5287694,102,1328,1350,0.3,20,True,88,15.86
249,CHEMBL1723,ALFUZOSIN HYDROCHLORIDE,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,0.4528265344661688,0.45572895,0.7441978,0.2737793,254,303,1813,0.3218391,29,True,89,16.04
251,CHEMBL79,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.4503716615068254,0.12399721,0.76171803,0.9671794,601,276,434,0.39215687,17,True,90,16.22
252,CHEMBL3545068,COPANLISIB HYDROCHLORIDE,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21.Cl.Cl,0.4499058082541409,0.73388875,0.96534234,0.1285444,154,70,2223,0.3592233,37,True,91,16.4
256,CHEMBL3989724,FLURAZEPAM HYDROCHLORIDE,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21.Cl.Cl,0.4442048140240213,0.2149542,0.47538027,0.8577539,470,674,791,0.32142857,29,True,92,16.58
258,CHEMBL24944,TRIBROMSALAN,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,0.4428984228524074,0.97358465,0.35881782,0.24869363,38,905,1854,0.30645162,19,True,93,16.76
259,CHEMBL1200406,DIMENHYDRINATE,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,0.4408108832942612,0.57978463,0.70574665,0.20933479,209,354,1958,0.30487806,33,True,94,16.94
