rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB
88,CHEMBL264241,ANIDULAFUNGIN,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,0.7479150754615865,0.5071843,0.857276,0.9622111,230,173,463
89,CHEMBL3889654,LAROTRECTINIB,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,0.739924904150609,0.7719506,0.7188689,0.73000145,136,335,1053
90,CHEMBL1183349,ISAVUCONAZONIUM,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,0.7378698923538927,0.9535191,0.45273024,0.9306159,45,712,576
91,CHEMBL2218896,NABILONE,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,0.7286125136152061,0.51024705,0.770947,0.98329735,228,270,294
92,CHEMBL1201740,NILOTINIB HYDROCHLORIDE MONOHYDRATE,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,0.7283849029928192,0.9988875,0.7839539,0.493487,10,252,1404
93,CHEMBL4594438,LENACAPAVIR,CC(C)(C#Cc1ccc(-c2ccc(Cl)c3c(NS(C)(=O)=O)nn(CC(F)(F)F)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2C(F)(F)[C@@H]2C[C@H]32)n1)S(C)(=O)=O,0.7282161139251867,0.6228591,0.6326408,0.98001754,192,444,326
94,CHEMBL2106615,BAZEDOXIFENE ACETATE,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0.7265338335141148,0.430791,0.8909394,0.99920076,275,132,49
95,CHEMBL679,EPINEPHRINE,CNC[C@H](O)c1ccc(O)c(O)c1,0.7244565097479799,0.49412173,0.96929234,0.7938679,237,58,928
96,CHEMBL1983268,ENTRECTINIB,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,0.7242080080955051,0.72031134,0.6437908,0.81907743,158,427,881
97,CHEMBL4596392,CRAVACITINIB,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.7235277413187492,0.8329021,0.72191703,0.62991846,104,326,1198
98,CHEMBL2105741,TRAMETINIB DIMETHYL SULFOXIDE,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1.C[S+](C)[O-],0.7229966406795119,0.6551766,0.5818591,0.9913628,180,517,196
99,CHEMBL1289494,TIVOZANIB,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,0.7221240927859279,0.3917163,0.9877781,0.97320527,311,29,392
100,CHEMBL317052,REGADENOSON ANHYDROUS,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,0.721824332866038,0.55328375,0.79830873,0.85148257,219,229,810
101,CHEMBL231884,DIOSMIN,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,0.7161871957723933,0.9362157,0.4280449,0.91667295,52,750,634
